,id,instance,objective,heuristic_start,n,m,n_j,status,obj,bin_count,int_count,model time (s),total time (s),gap
0,BA_01_makespan_heurFalse,BA_01,makespan,False,2,2,4,2,44.0,20,5,0.002000093460083008,0.013000726699829102,0.0
0,BA_01_makespan_heurTrue,BA_01,makespan,True,2,2,4,2,44.0,20,5,0.002000093460083008,0.6830012798309326,0.0
0,BA_01_deadline_heurFalse,BA_01,deadline,False,2,2,4,2,28.0,22,5,0.002000093460083008,0.009999990463256836,0.0
0,BA_01_deadline_heurTrue,BA_01,deadline,True,2,2,4,2,28.0,22,5,0.0009999275207519531,0.32625555992126465,0.0
0,BA_02_makespan_heurFalse,BA_02,makespan,False,2,2,4,2,48.0,20,5,0.0,0.010777711868286133,0.0
0,BA_02_makespan_heurTrue,BA_02,makespan,True,2,2,4,2,48.0,20,5,0.0,0.3036630153656006,0.0
0,BA_02_deadline_heurFalse,BA_02,deadline,False,2,2,4,2,30.0,22,5,0.003000020980834961,0.01101374626159668,0.0
0,BA_02_deadline_heurTrue,BA_02,deadline,True,2,2,4,2,30.0,22,5,0.005000114440917969,0.34469151496887207,0.0
0,BA_03_makespan_heurFalse,BA_03,makespan,False,3,2,6,2,72.0,42,7,0.003999948501586914,0.011997699737548828,0.0
0,BA_03_makespan_heurTrue,BA_03,makespan,True,3,2,6,2,72.0,42,7,0.005000114440917969,0.3139975070953369,0.0
0,BA_03_deadline_heurFalse,BA_03,deadline,False,3,2,6,2,60.0,45,7,0.004999876022338867,0.014001607894897461,0.0
0,BA_03_deadline_heurTrue,BA_03,deadline,True,3,2,6,2,60.0,45,7,0.0,0.4911372661590576,0.0
0,BA_04_makespan_heurFalse,BA_04,makespan,False,3,2,6,2,73.0,42,7,0.0,0.017769575119018555,0.0
0,BA_04_makespan_heurTrue,BA_04,makespan,True,3,2,6,2,73.0,42,7,0.0,0.3140287399291992,0.0
0,BA_04_deadline_heurFalse,BA_04,deadline,False,3,2,6,2,53.0,45,7,0.0,0.019705533981323242,0.0
0,BA_04_deadline_heurTrue,BA_04,deadline,True,3,2,6,2,53.0,45,7,0.003999948501586914,0.31023335456848145,0.0
0,BA_05_makespan_heurFalse,BA_05,makespan,False,3,2,6,2,101.0,42,7,0.004999876022338867,0.013000726699829102,0.0
0,BA_05_makespan_heurTrue,BA_05,makespan,True,3,2,6,2,101.0,42,7,0.005000114440917969,0.23635482788085938,0.0
0,BA_05_deadline_heurFalse,BA_05,deadline,False,3,2,6,2,75.0,45,7,0.008999824523925781,0.018996238708496094,0.0
0,BA_05_deadline_heurTrue,BA_05,deadline,True,3,2,6,2,75.0,45,7,0.006999969482421875,0.2790253162384033,0.0
0,BA_06_makespan_heurFalse,BA_06,makespan,False,3,3,9,2,100.0,90,10,0.005000114440917969,0.014000415802001953,0.0
0,BA_06_makespan_heurTrue,BA_06,makespan,True,3,3,9,2,100.0,90,10,0.00599980354309082,0.31562280654907227,0.0
0,BA_06_deadline_heurFalse,BA_06,deadline,False,3,3,9,2,73.0,93,10,0.004999876022338867,0.014000177383422852,0.0
0,BA_06_deadline_heurTrue,BA_06,deadline,True,3,3,9,2,73.0,93,10,0.015999794006347656,0.27866554260253906,0.0
0,BA_07_makespan_heurFalse,BA_07,makespan,False,3,5,9,2,45.0,99,19,0.13700008392333984,0.15231919288635254,0.0
0,BA_07_makespan_heurTrue,BA_07,makespan,True,3,5,9,2,45.0,99,19,0.14400005340576172,0.47751832008361816,0.0
0,BA_07_deadline_heurFalse,BA_07,deadline,False,3,5,9,2,11.0,105,19,0.1659998893737793,0.19020748138427734,0.0
0,BA_07_deadline_heurTrue,BA_07,deadline,True,3,5,9,2,11.0,105,19,0.06399989128112793,0.49933457374572754,0.0
0,BA_08_makespan_heurFalse,BA_08,makespan,False,3,4,9,2,46.0,99,19,0.32200002670288086,0.33699989318847656,0.0
0,BA_08_makespan_heurTrue,BA_08,makespan,True,3,4,9,2,46.0,99,19,0.3210000991821289,0.6493687629699707,0.0
0,BA_08_deadline_heurFalse,BA_08,deadline,False,3,4,9,2,25.0,105,19,0.36100006103515625,0.3693058490753174,0.0
0,BA_08_deadline_heurTrue,BA_08,deadline,True,3,4,9,2,25.0,105,19,0.14899992942810059,0.5116016864776611,0.0
0,BA_09_makespan_heurFalse,BA_09,makespan,False,3,3,9,2,98.0,90,10,0.013000011444091797,0.024997711181640625,0.0
0,BA_09_makespan_heurTrue,BA_09,makespan,True,3,3,9,2,98.0,90,10,0.012000083923339844,0.3259565830230713,0.0
0,BA_09_deadline_heurFalse,BA_09,deadline,False,3,3,9,2,74.0,93,10,0.01399993896484375,0.027001142501831055,0.0
0,BA_09_deadline_heurTrue,BA_09,deadline,True,3,3,9,2,92.0,93,10,0.010999917984008789,0.5351941585540771,0.0
0,BA_10_makespan_heurFalse,BA_10,makespan,False,4,5,12,2,65.0,168,25,0.49900007247924805,0.5171711444854736,0.0
0,BA_10_makespan_heurTrue,BA_10,makespan,True,4,5,12,2,65.0,168,25,0.7060000896453857,1.0361008644104004,0.0
0,BA_10_deadline_heurFalse,BA_10,deadline,False,4,5,12,2,29.0,176,25,0.7229998111724854,0.7224910259246826,0.0
0,BA_10_deadline_heurTrue,BA_10,deadline,True,4,5,12,2,29.0,176,25,0.4460000991821289,0.9005537033081055,0.0
0,BA_11_makespan_heurFalse,BA_11,makespan,False,5,6,15,2,81.0,255,31,1.125999927520752,1.1510593891143799,0.0
0,BA_11_makespan_heurTrue,BA_11,makespan,True,5,6,15,2,81.0,255,31,1.059000015258789,1.3741915225982666,0.0
0,BA_11_deadline_heurFalse,BA_11,deadline,False,5,6,15,2,34.0,265,31,0.8989999294281006,0.9240033626556396,0.0
0,BA_11_deadline_heurTrue,BA_11,deadline,True,5,6,15,2,34.0,265,31,0.693000078201294,1.0240163803100586,0.0
0,BA_12_makespan_heurFalse,BA_12,makespan,False,5,7,15,2,64.0,270,46,4.626999855041504,4.662176132202148,0.0
0,BA_12_makespan_heurTrue,BA_12,makespan,True,5,7,15,2,64.0,270,46,4.179999828338623,4.5308380126953125,0.0
0,BA_12_deadline_heurFalse,BA_12,deadline,False,5,7,15,2,20.0,285,46,4.8500001430511475,4.893200159072876,0.0
0,BA_12_deadline_heurTrue,BA_12,deadline,True,5,7,15,2,20.0,285,46,4.977999925613403,5.349117279052734,0.0
0,BA_13_makespan_heurFalse,BA_13,makespan,False,6,7,18,2,86.0,378,55,175.91499996185303,175.96402406692505,0.0
0,BA_13_makespan_heurTrue,BA_13,makespan,True,6,7,18,2,86.0,378,55,773.9939999580383,774.5881404876709,0.0
0,BA_13_deadline_heurFalse,BA_13,deadline,False,6,7,18,2,19.0,396,55,44.32099986076355,44.409735441207886,0.0
0,BA_13_deadline_heurTrue,BA_13,deadline,True,6,7,18,2,19.0,396,55,22.33399987220764,23.972437143325806,0.0
0,BA_14_makespan_heurFalse,BA_14,makespan,False,7,7,21,9,121.0,504,64,3600.1100001335144,3600.1766431331635,0.19834710743801653
0,BA_14_makespan_heurTrue,BA_14,makespan,True,7,7,21,9,121.0,504,64,3600.138000011444,3604.054797887802,0.19834710743801653
0,BA_14_deadline_heurFalse,BA_14,deadline,False,7,7,21,9,63.0,525,64,3600.1310000419617,3603.038861989975,0.6190476190476191
0,BA_14_deadline_heurTrue,BA_14,deadline,True,7,7,21,9,63.0,525,64,3600.042000055313,3616.9591839313507,0.5873015873015873
0,BA_15_makespan_heurFalse,BA_15,makespan,False,7,7,21,9,112.0,504,64,3600.225000143051,3615.6631791591644,0.22321428571428573
0,BA_15_makespan_heurTrue,BA_15,makespan,True,7,7,21,9,112.0,504,64,3600.2430000305176,3603.036963224411,0.22321428571428573
0,BA_15_deadline_heurFalse,BA_15,deadline,False,7,7,21,9,41.0,525,64,3600.0319998264313,3602.510218858719,0.04878048780487805
0,BA_15_deadline_heurTrue,BA_15,deadline,True,7,7,21,9,41.0,525,64,3600.026000022888,3603.1148874759674,0.12195121951219512
0,BA_16_makespan_heurFalse,BA_16,makespan,False,8,7,24,9,146.0,648,73,3600.3229999542236,3603.3561956882477,0.4520547945205479
0,BA_16_makespan_heurTrue,BA_16,makespan,True,8,7,24,9,146.0,648,73,3600.220999956131,3604.8555388450623,0.4520547945205479
0,BA_16_deadline_heurFalse,BA_16,deadline,False,8,7,24,9,58.0,672,73,3600.4459998607635,3605.257924556732,0.9482758620689655
0,BA_16_deadline_heurTrue,BA_16,deadline,True,8,7,24,9,50.0,672,73,3600.042999982834,3603.4218678474426,0.78
0,BA_17_makespan_heurFalse,BA_17,makespan,False,8,7,32,9,218.0,1120,97,3600.4560000896454,3620.5700392723083,0.6100917431192661
0,BA_17_makespan_heurTrue,BA_17,makespan,True,8,7,32,9,206.0,1120,97,3600.3229999542236,3607.233216047287,0.5825242718446602
0,BA_17_deadline_heurFalse,BA_17,deadline,False,8,7,32,9,98.0,1144,97,3600.25,3604.773239135742,0.9591836734693877
0,BA_17_deadline_heurTrue,BA_17,deadline,True,8,7,32,9,98.0,1144,97,3600.21799993515,3613.3739976882935,0.9591836734693877
0,BA_18_makespan_heurFalse,BA_18,makespan,False,9,8,36,9,231.0,1404,109,3600.5110001564026,3611.296313762665,0.5670995670995671
0,BA_18_makespan_heurTrue,BA_18,makespan,True,9,8,36,9,231.0,1404,109,3600.4720001220703,3604.4026622772217,0.5670995670995671
0,BA_18_deadline_heurFalse,BA_18,deadline,False,9,8,36,9,133.0,1431,109,3600.1610000133514,3603.589366674423,0.9323308270676691
0,BA_18_deadline_heurTrue,BA_18,deadline,True,9,8,36,9,133.0,1431,109,3600.069000005722,3609.5113201141357,0.9323308270676691
0,BA_19_makespan_heurFalse,BA_19,makespan,False,11,8,44,9,325.0,2068,133,3600.558000087738,3614.0216307640076,0.683076923076923
0,BA_19_makespan_heurTrue,BA_19,makespan,True,11,8,44,9,325.0,2068,133,3600.7750000953674,3606.291023492813,0.683076923076923
0,BA_19_deadline_heurFalse,BA_19,deadline,False,11,8,44,9,175.0,2101,133,3600.242000102997,3607.187702178955,0.9885714285714285
0,BA_19_deadline_heurTrue,BA_19,deadline,True,11,8,44,9,175.0,2101,133,3600.177999973297,3607.150050878525,0.9885714285714285
0,BA_20_makespan_heurFalse,BA_20,makespan,False,12,8,48,9,381.0,2448,145,3600.736000061035,3607.7685310840607,0.6745406824146981
0,BA_20_makespan_heurTrue,BA_20,makespan,True,12,8,48,9,397.0,2448,145,3600.6859998703003,3605.1800014972687,0.690176322418136
0,BA_20_deadline_heurFalse,BA_20,deadline,False,12,8,48,9,249.0,2484,145,3600.2829999923706,3605.9063777923584,0.9799196787148594
0,BA_20_deadline_heurTrue,BA_20,deadline,True,12,8,48,9,249.0,2484,145,3600.401999950409,3608.7184698581696,0.9799196787148594
0,URT_01_makespan_heurFalse,URT_01,makespan,False,2,2,4,2,44.0,20,5,0.019999980926513672,8.912574768066406,0.0
0,URT_01_makespan_heurTrue,URT_01,makespan,True,2,2,4,2,44.0,20,5,0.0,0.2419757843017578,0.0
0,URT_01_deadline_heurFalse,URT_01,deadline,False,2,2,4,2,28.0,22,5,0.018000125885009766,0.021014690399169922,0.0
0,URT_01_deadline_heurTrue,URT_01,deadline,True,2,2,4,2,28.0,22,5,0.0,0.20007944107055664,0.0
0,URT_02_makespan_heurFalse,URT_02,makespan,False,2,2,4,2,42.0,20,5,0.01699995994567871,0.021341800689697266,0.0
0,URT_02_makespan_heurTrue,URT_02,makespan,True,2,2,4,2,42.0,20,5,0.015000104904174805,0.22731900215148926,0.0
0,URT_02_deadline_heurFalse,URT_02,deadline,False,2,2,4,2,32.0,22,5,0.01900005340576172,0.02341008186340332,0.0
0,URT_02_deadline_heurTrue,URT_02,deadline,True,2,2,4,2,32.0,22,5,0.015000104904174805,0.21029257774353027,0.0
0,URT_03_makespan_heurFalse,URT_03,makespan,False,3,2,6,2,69.0,42,7,0.04399991035461426,0.052518606185913086,0.0
0,URT_03_makespan_heurTrue,URT_03,makespan,True,3,2,6,2,69.0,42,7,0.03600001335144043,0.25612783432006836,0.0
0,URT_03_deadline_heurFalse,URT_03,deadline,False,3,2,6,2,47.0,45,7,0.06000018119812012,0.06952333450317383,0.0
0,URT_03_deadline_heurTrue,URT_03,deadline,True,3,2,6,2,47.0,45,7,0.06199979782104492,0.2516043186187744,0.0
0,URT_04_makespan_heurFalse,URT_04,makespan,False,3,2,6,2,77.0,42,7,0.026999950408935547,0.03500843048095703,0.0
0,URT_04_makespan_heurTrue,URT_04,makespan,True,3,2,6,2,77.0,42,7,0.03500008583068848,0.25299835205078125,0.0
0,URT_04_deadline_heurFalse,URT_04,deadline,False,3,2,6,2,51.0,45,7,0.0,0.030347824096679688,0.0
0,URT_04_deadline_heurTrue,URT_04,deadline,True,3,2,6,2,51.0,45,7,0.0,0.2197878360748291,0.0
0,URT_05_makespan_heurFalse,URT_05,makespan,False,3,2,6,2,101.0,42,7,0.05500006675720215,0.06352877616882324,0.0
0,URT_05_makespan_heurTrue,URT_05,makespan,True,3,2,6,2,101.0,42,7,0.04699993133544922,0.2568051815032959,0.0
0,URT_05_deadline_heurFalse,URT_05,deadline,False,3,2,6,2,75.0,45,7,0.08000016212463379,0.08582758903503418,0.0
0,URT_05_deadline_heurTrue,URT_05,deadline,True,3,2,6,2,75.0,45,7,0.06399989128112793,0.25294995307922363,0.0
0,URT_06_makespan_heurFalse,URT_06,makespan,False,3,3,9,2,97.0,90,10,0.03000020980834961,0.040512800216674805,0.0
0,URT_06_makespan_heurTrue,URT_06,makespan,True,3,3,9,2,97.0,90,10,0.029999971389770508,0.25258588790893555,0.0
0,URT_06_deadline_heurFalse,URT_06,deadline,False,3,3,9,2,70.0,93,10,0.042999982833862305,0.05251955986022949,0.0
0,URT_06_deadline_heurTrue,URT_06,deadline,True,3,3,9,2,70.0,93,10,0.05500006675720215,0.26148223876953125,0.0
0,URT_07_makespan_heurFalse,URT_07,makespan,False,3,5,9,2,43.0,99,19,0.7619998455047607,0.767352819442749,0.0
0,URT_07_makespan_heurTrue,URT_07,makespan,True,3,5,9,2,43.0,99,19,0.755000114440918,0.9716660976409912,0.0
0,URT_07_deadline_heurFalse,URT_07,deadline,False,3,5,9,2,10.0,105,19,0.3320000171661377,0.34682536125183105,0.0
0,URT_07_deadline_heurTrue,URT_07,deadline,True,3,5,9,2,10.0,105,19,0.3320000171661377,0.5251493453979492,0.0
0,URT_08_makespan_heurFalse,URT_08,makespan,False,3,4,9,9,48.0,99,19,3600.1879999637604,3600.2019486427307,0.125
0,URT_08_makespan_heurTrue,URT_08,makespan,True,3,4,9,9,48.0,99,19,3600.433000087738,3606.768880367279,0.125
0,URT_08_deadline_heurFalse,URT_08,deadline,False,3,4,9,2,29.0,105,19,0.3259999752044678,3.8451054096221924,0.0
0,URT_08_deadline_heurTrue,URT_08,deadline,True,3,4,9,2,29.0,105,19,0.37000012397766113,0.5672283172607422,0.0
0,URT_09_makespan_heurFalse,URT_09,makespan,False,3,3,9,2,136.0,90,10,0.07399988174438477,0.08087849617004395,0.0
0,URT_09_makespan_heurTrue,URT_09,makespan,True,3,3,9,2,136.0,90,10,0.06500005722045898,0.27754902839660645,0.0
0,URT_09_deadline_heurFalse,URT_09,deadline,False,3,3,9,2,112.0,93,10,0.0560002326965332,0.06707572937011719,0.0
0,URT_09_deadline_heurTrue,URT_09,deadline,True,3,3,9,2,112.0,93,10,0.053999900817871094,0.2570466995239258,0.0
0,URT_10_makespan_heurFalse,URT_10,makespan,False,4,5,12,2,66.0,168,25,2.3559999465942383,2.3721063137054443,0.0
0,URT_10_makespan_heurTrue,URT_10,makespan,True,4,5,12,2,66.0,168,25,2.2060000896453857,2.4538512229919434,0.0
0,URT_10_deadline_heurFalse,URT_10,deadline,False,4,5,12,2,33.0,176,25,0.8550000190734863,0.891655683517456,0.0
0,URT_10_deadline_heurTrue,URT_10,deadline,True,4,5,12,2,33.0,176,25,0.8440001010894775,1.0540192127227783,0.0
0,URT_11_makespan_heurFalse,URT_11,makespan,False,5,6,15,2,93.0,255,31,4.398999929428101,4.431163549423218,0.0
0,URT_11_makespan_heurTrue,URT_11,makespan,True,5,6,15,2,93.0,255,31,4.138000011444092,5.529904365539551,0.0
0,URT_11_deadline_heurFalse,URT_11,deadline,False,5,6,15,2,44.0,265,31,3.8439998626708984,3.889369010925293,0.0
0,URT_11_deadline_heurTrue,URT_11,deadline,True,5,6,15,2,44.0,265,31,3.7180001735687256,4.001042604446411,0.0
0,URT_12_makespan_heurFalse,URT_12,makespan,False,5,7,15,2,72.0,270,46,33.9210000038147,33.982195138931274,0.0
0,URT_12_makespan_heurTrue,URT_12,makespan,True,5,7,15,2,72.0,270,46,31.975000143051147,32.25140595436096,0.0
0,URT_12_deadline_heurFalse,URT_12,deadline,False,5,7,15,2,28.0,285,46,12.119999885559082,12.168298244476318,0.0
0,URT_12_deadline_heurTrue,URT_12,deadline,True,5,7,15,2,28.0,285,46,11.898000001907349,12.149960994720459,0.0
0,URT_13_makespan_heurFalse,URT_13,makespan,False,6,7,18,2,92.0,378,55,736.045000076294,736.1019771099091,0.0
0,URT_13_makespan_heurTrue,URT_13,makespan,True,6,7,18,2,92.0,378,55,717.8829998970032,718.1916890144348,0.0
0,URT_13_deadline_heurFalse,URT_13,deadline,False,6,7,18,2,22.0,396,55,28.756999969482422,28.827641010284424,0.0
0,URT_13_deadline_heurTrue,URT_13,deadline,True,6,7,18,2,22.0,396,55,96.32699990272522,96.59566903114319,0.0
0,URT_14_makespan_heurFalse,URT_14,makespan,False,7,7,21,9,126.0,504,64,3600.1979999542236,3600.2527265548706,0.20634920634920634
0,URT_14_makespan_heurTrue,URT_14,makespan,True,7,7,21,9,126.0,504,64,3600.18399977684,3602.877434015274,0.20634920634920634
0,URT_14_deadline_heurFalse,URT_14,deadline,False,7,7,21,9,58.0,525,64,3600.082999944687,3602.469395637512,0.46551724137931033
0,URT_14_deadline_heurTrue,URT_14,deadline,True,7,7,21,9,58.0,525,64,3600.03200006485,3613.2439551353455,0.5172413793103449
0,URT_15_makespan_heurFalse,URT_15,makespan,False,7,7,21,9,120.0,504,64,3600.084000110626,3615.7719910144806,0.15833333333333333
0,URT_15_makespan_heurTrue,URT_15,makespan,True,7,7,21,9,120.0,504,64,3600.3070001602173,3601.8051652908325,0.15833333333333333
0,URT_15_deadline_heurFalse,URT_15,deadline,False,7,7,21,9,53.0,525,64,3600.055999994278,3601.3043973445892,0.5094339622641508
0,URT_15_deadline_heurTrue,URT_15,deadline,True,7,7,21,2,53.0,525,64,1328.8420000076294,1341.6676161289215,0.0
0,URT_16_makespan_heurFalse,URT_16,makespan,False,8,7,24,9,152.0,648,73,3600.2060000896454,3600.3499343395233,0.3881578947368421
